,valence,text,,,,,
44,-2,"Fru formand , kan De fortælle mig , hvorfor Parlamentet ikke overholder de lovgivningsbestemmelser om sundhed og sikkerhed , som det selv har fastsat ?",,,,,
45,-2,"Hvorfor er der ikke foretaget en undersøgelse af luftkvaliteten i denne bygning , siden vi blev valgt ?",,,,,
46,-2,Hvorfor har Sundheds- og Sikkerhedsudvalget ikke haft et møde siden 1998 ?,,,,,
47,-2,"Hvorfor har der ikke været brandøvelser , hverken i parlamentsbygningerne i Bruxelles eller Strasbourg ?",,,,,
48,-2,Hvorfor er der ingen brandinstrukser ?,,,,,
49,-2,Hvorfor etableres der ikke områder med rygeforbud ?,,,,,
50,-3,"Det er fuldstændig skandaløst , at vi fastsætter lovgivningsbestemmelser og så ikke overholder dem selv .",,,,,
51,,"Fru Lynne , De har fuldstændig ret , og jeg vil kontrollere , om alle disse ting virkelig ikke er blevet gjort .",,,,,
52,,"Jeg vil ligeledes fremlægge problemet for kvæstorerne , og jeg er sikker på , at kvæstorerne vil bestræbe sig på at sørge for , at vi overholder den lovgivning , vi vedtager .",,,,,
53,,"Fru formand , fru Díez González og jeg havde stillet nogle spørgsmål om visse holdninger gengivet i en spansk avis , som næstformanden , fru de Palacio , har givet udtryk for .",,,,,
54,,"De kompetente tjenestegrene har ikke opført dem på dagsordenen , fordi de mener , at de blev besvaret ved et tidligere møde .",,,,,
55,,"Jeg anmoder om , at denne beslutning tages op til fornyet overvejelse , for det er ikke tilfældet .",,,,,
56,,"De spørgsmål , der tidligere er blevet besvaret , drejede sig om fru de Palacios medvirken i en bestemt sag og ikke om de erklæringer , som kunne læses i avisen ABC den 18. november sidste år .",,,,,
57,,"Kære kolleger , vi vil undersøge alt dette .",,,,,
58,-2,"Jeg må indrømme , at det hele forekommer mig lidt forvirrende i øjeblikket .",,,,,
59,1,"Derfor vil vi undersøge det meget omhyggeligt , således at alt er , som det skal være .",,,,,
60,-2,"Fru formand , jeg vil gerne vide , om der kommer en klar melding fra Parlamentet i denne uge om vores utilfredshed i forbindelse med dagens beslutning om ikke at forlænge embargoen mod våbeneksport til Indonesien i betragtning af , at et stort flertal i Parlamentet tidligere har undertegnet våbenembargoen i Indonesien .",,,,,
61,-2,Dagens beslutning om ikke at forlænge embargoen er meget farlig på grund af situationen der .,,,,,
62,0,"Parlamentet bør derfor tilkendegive sin holdning , da det er flertallets ønske .",,,,,
63,-2,Det er uansvarligt af EU-medlemsstater at nægte at forlænge embargoen .,,,,,
64,-3,Som nævnt tidligere er der tale om en meget ustabil situation .,,,,,
65,-3,Der er endog fare for et militærkup i fremtiden .,,,,,
66,-1,"Vi ved ikke , hvad der sker .",,,,,
67,-2,Så hvorfor skal våbenproducenter i EU profitere på bekostning af uskyldige mennesker ?,,,,,
68,0,Under alle omstændigheder er punktet ikke på nuværende tidspunkt opført under forhandlingen om aktuelle og uopsættelige spørgsmål på torsdag .,,,,,
69,9,Arbejdsplan Næste punkt på dagsordenen er fastsættelse af arbejdsplanen .,,,,,
70,0,"Det endelige forslag til dagsorden , som det blev opstillet af Formandskonferencen på mødet torsdag den 13. januar i overensstemmelse med forretningsordenens artikel 95 , er omdelt .",,,,,
71,0,Det foreligger ingen forslag til ændring for mandag og tirsdag .,,,,,
72,0,Onsdag : PSE-gruppen anmoder om at få en redegørelse fra Kommissionen om dens strategiske mål for de kommende fem år samt om den administrative reform opført på dagsordenen .,,,,,
73,0,"Hvis hr . Barón Crespo , der har fremsat anmodningen , ønsker det , opfordrer jeg ham til at begrunde sit forslag .",,,,,
74,,,,,,,
75,0,"Dernæst gør vi , som vi plejer , det vil sige , at vi hører et indlæg for og et indlæg imod forslaget .",,,,,
76,0,"Fru formand , forelæggelsen af Prodi-Kommissionens politiske program for hele valgperioden var til at begynde med et forslag fra De Europæiske Socialdemokraters Gruppe , som opnåede enstemmighed på Formandskonferencen i september og også hr .",,,,,
77,1,"Prodis udtrykkelige accept , og han gentog sit løfte i sin indsættelsestale .",,,,,
78,0,"Dette løfte er vigtigt , fordi Kommissionen er et organ , der har initiativmonopol i henhold til traktaterne og derfor grundlæggende udformer Parlamentets politiske arbejde og lovgivningsarbejde i de kommende fem år .",,,,,
79,1,"Jeg vil også minde om , fru formand , at Parlamentet to gange i foregående valgperiode ved afstemning gav udtryk for sin tillid til formand Prodi .",,,,,
80,1,"I denne valgperiode igen i juli og senere , med den nye Kommission på plads , gav det igen i september hele Kommissionen et tillidsvotum .",,,,,
81,0,"Der har derfor været tid nok til , at Kommissionen kunne forberede sit program , og til at vi kunne få kendskab til det og forklare det til borgerne .",,,,,
82,0,"I den forbindelse vil jeg minde om beslutningen fra 15. september , hvori der blev henstillet til , at forslaget blev forelagt hurtigst muligt .",,,,,
83,-1,"Det , der skete i sidste uge - og som opstod uden for Formandskonferencen , hvor den udelukkende blev brugt til at bekræfte og godkende beslutninger , som var truffet uden for den - skaber et dilemma : Enten er Kommissionen ikke i stand til at fremlægge det program .",,,,,
84,0,"( I så fald ville det være passende , at den informerede om det .",,,,,
85,0,Ifølge kommissionsformandens udsagn er de i stand til at gøre det .,,,,,
86,0,"Eftersom Kommissionen er repræsenteret af næstformanden , fru de Palacio , mener jeg , at det før afstemningen ville være på sin plads at være på det rene med Kommissionens situation , hvad angår dets vilje til at forelægge programmet , ligesom det var blevet aftalt . )",,,,,
87,,"Eller også er Parlamentet ikke i stand til at behandle dette program , som der vist er nogle , der påstår .",,,,,
88,,"Efter min mening ville denne anden hypotese være det samme som at give afkald på vores ansvar som parlament og desuden at indføre en original teori , en ukendt metode , der består i skriftligt at give de politiske grupper kendskab til Kommissionens program en uge før - og ikke dagen før , som det var aftalen - i betragtning af , at lovgivningsprogrammet skal diskuteres i februar , således at vi kunne springe forhandlingen over , fordi pressen og Internettet dagen efter havde givet alle borgerne kendskab til det , og Parlamentet ville ikke længere behøve at bekymre sig om sagen .",,,,,
89,,"Da min gruppe mener , at et parlament er til for at lytte , diskutere og overveje , mener vi , at der ikke er noget som helst , der kan retfærdiggøre denne udsættelse , og vi mener , at hvis Kommissionen er i stand til at gøre det , er der tid nok til , at vi kan genetablere den oprindelige aftale mellem Parlamentet og Kommissionen og handle ansvarligt over for vores medborgere .",,,,,
90,,"Derfor går det forslag , som De Europæiske Socialdemokraters Gruppe stiller , og som De har nævnt , ud på , at vi holder fast ved forelæggelsen af Prodi-Kommissionens program for valgperioden på onsdag , og at dette program også omfatter forslaget til administrativ reform , for hvis det ikke bliver sådan , kan vi komme i en paradoksal situation : Med en undskyldning om at der ikke er en tekst , nægtes formanden for Kommissionen på den ene side retten til at tale i Parlamentet , og på den anden side forhindres det , at der finder en forhandling sted om reformen , uden at Parlamentet på forhånd kender de tekster , som den er baseret på .",,,,,
91,0,"Derfor , fru formand , anmoder jeg Dem om at bede Kommissionen om at udtale sig nu , og at vi derefter går over til afstemning .",,,,,
92,,"( Bifald fra PSE-gruppen ) Fru formand , kære kolleger , jeg er godt nok noget forbavset over vores kollega Barón Crespos opførsel .",,,,,
93,0,"Han forlanger nu , at dette punkt sættes på dagsordenen for onsdag .",,,,,
94,0,"Hr. Barón Crespo , De kunne ikke deltage den sidste torsdag på Formandskonferencen .",,,,,
95,0,"Det kritiserer jeg ikke , for det sker af og til , at man lader sig repræsentere .",,,,,
96,0,Hr. Hänsch repræsenterede Dem dér .,,,,,
97,0,Vi havde en udførlig debat på Formandskonferencen .,,,,,
98,0,"Kun Deres gruppe repræsenterede det , som De siger nu .",,,,,
99,0,Vi stemte derefter om det .,,,,,
100,0,"Hver ordfører har jo lige så mange stemmer , som der er medlemmer i gruppen .",,,,,
101,0,Der var en afstemning om dette punkt .,,,,,
102,0,"Så vidt jeg husker , faldt denne afstemning således ud : 422 mod 180 stemmer og nogle få , der undlod at stemme .",,,,,
103,0,"Det vil sige , at alle grupper med undtagelse af løsgængerne - men de udgør jo ikke nogen gruppe - var enige , kun Deres gruppe mente , at man skulle bære sig sådan ad , som De har foreslået her .",,,,,
104,0,Alle andre mente noget andet .,,,,,
105,0,Det var beslutningen .,,,,,
106,0,Nu vil jeg gerne sige noget til selve sagen .,,,,,
107,,"Vi har tillid til Kommissionen , til Romano Prodi , og flertallet i vores gruppe har udtrykt tillid til Romano Prodi og Kommissionen efter en vanskelig proces , som alle kender til .",,,,,
108,,"Men vi mener også , at vi skal have en debat om Kommissionens strategi i en ordinær procedure , ikke kun på baggrund af en mundtlig forklaring her i Europa-Parlamentet , men også på baggrund af et dokument , som er blevet besluttet i Kommissionen , og som beskriver dette program for fem år .",,,,,
109,,Et sådant dokument findes ikke !,,,,,
110,,Kommissionen vil fremlægge programmet for år 2000 til februar .,,,,,
111,,"Vi har sagt , at hvis Kommissionen ikke ønsker at lave programmet for år 2000 i januar , så gør vi det i februar .",,,,,
112,1,Det har vi godkendt .,,,,,
113,,"Vi ønsker sådan set ikke nogen konflikt med Kommissionen , vi mener derimod , at hvis det går , skal Kommissionen og Parlamentet gå samme vej .",,,,,
114,,Men Parlamentet er også Kommissionens kontrollør .,,,,,
115,,"Og ikke alt , hvad der kommer fra Kommissionen , skal nødvendigvis være i overensstemmelse med os .",,,,,
116,,"Jeg vil gerne have , at vi får mulighed for at forberede os fornuftigt på en debat om femårsprogrammet i grupperne .",,,,,
117,,"Man kan ikke forberede sig , hvis man hører en forklaring her og slet ikke ved , hvad indholdet af en sådan forklaring er .",,,,,
118,,"Derfor anbefaler vi - og det er mit indtryk , at Kommissionen også er åben over for denne tanke - at vi fører debatten om Kommissionens langsigtede program frem til år 2005 i februar - jeg håber også , at Kommissionen er blevet enig om et program til den tid , som den vil foreslå os - og at vi samtidig fører en debat om Kommissionens lovgivningsprogram for år 2000 i februar .",,,,,
119,,"Det er således også en fornuftig saglig sammenhæng , som råder os til at føre debatten om begge programmer i fællesskab .",,,,,
120,,Derfor afviser min gruppe på det bestemteste Den Socialdemokratiske Gruppes forslag !,,,,,
121,,"( Bifald fra PPE-DE-gruppen ) Fru formand , jeg vil gøre det meget klart , at Kommissionen først og fremmest har den største respekt for Parlamentets beslutninger , deriblandt opstillingen af dagsordenen .",,,,,
122,,"Derfor respekterer vi Parlamentets beslutning , hvad det angår .",,,,,
123,,"Men jeg vil også gøre det meget klart , at hr . Prodi aftalte med Parlamentet at indføre en ny forhandling , som hr . Barón nok husker , ud over den årlige forhandling om Kommissionens lovgivningsprogram , om hovedlinjerne i aktionerne for den kommende femårsperiode , altså for denne valgperiode .",,,,,
124,,,,,,,
125,,,,,,,
126,,"Jeg vil sige , fru formand , at denne forhandling i den aftale , som blev indgået i september , adskilte sig fra Kommissionens årlige forelæggelse af programmet for lovgivningen .",,,,,
127,,"Og jeg vil sige , fru formand , at vi i Kommissionen er forberedt på og rede til at deltage i den forhandling , når det er belejligt , at vi var rede til at gennemføre den i denne uge , som det var aftalt fra begyndelsen , med udgangspunkt i at den blev forelagt dagen før i en tale til de parlamentariske grupper .",,,,,
128,,"Jeg vil derfor gentage , fru formand , at vi for vores del har diskuteret handlingsprogrammet for de kommende fem år , og at vi er rede til , når Parlamentet bestemmer det - i denne uge , hvis det er beslutningen - at komme og forelægge programmet for de kommende fem år og i næste måned programmet for 2000 , hvilket er helt i overensstemmelse med aftalen .",,,,,
129,,"Jeg foreslår , at vi stemmer om PSE-gruppens anmodning om at få en redegørelse fra Kommissionen om dens strategiske mål genopført på dagsordenen .",,,,,
130,,( Forslaget forkastedes ) Formanden .,,,,,
131,,Stadig med hensyn til dagsordenen for onsdag har jeg et forslag om de mundtlige forespørgsler om kapitalskat .,,,,,
132,,"PPE-DE-gruppen ønsker , at dette punkt tages af dagsordenen .",,,,,
133,,Ønsker nogen at tage ordet på vegne af gruppen for at begrunde denne anmodning ?,,,,,
134,,"Fru formand , da jeg kan høre en smule latter fra Socialdemokraterne - jeg har fået fortalt , at brede kredse i Den Socialdemokratiske Gruppe også gerne vil have taget dette punkt af dagsordenen , fordi der ved afstemningen på Formandskonferencen ikke forelå noget votum fra arbejdsgruppen af ansvarlige kolleger i Den Socialdemokratiske Gruppe .",,,,,
135,,"Jeg ved ikke , om denne oplysning er rigtig , men PPE-DE-gruppen ville i hvert fald være taknemmelig , hvis dette punkt blev annulleret , fordi Parlamentet allerede har beskæftiget sig med dette spørgsmål flere gange .",,,,,
136,,Der er også truffet beslutninger mod en sådan skat .,,,,,
137,,"Derfor anmoder min gruppe om , at dette punkt tages af dagsordenen .",,,,,
138,,"Tak , hr .",,,,,
139,,Poettering .,,,,,
140,,Vi skal nu høre hr .,,,,,
141,,"Wurtz , der er imod forslaget .",,,,,
142,,"Fru formand , jeg vil først og fremmest fremhæve hr . Poetterings manglende konsekvens .",,,,,
143,,,,,,,
144,,"For et øjeblik siden belærte han socialdemokraterne , fordi de ville ændre en klar beslutning truffet på Formandskonferencen .",,,,,
145,0,Imidlertid gør han det samme .,,,,,
146,,"Vi havde en diskussion , vi var alle - på nær PPE-DE-gruppen og Den Liberale Gruppe - enige , og jeg bemærkede endda - som De sikkert husker , kære medformænd - at det ikke drejede sig om , hvorvidt De er for eller imod Tobin-afgiften , men om De turde høre , hvad Kommissionen og Rådet mente om den .",,,,,
147,,Dette er ikke for meget forlangt .,,,,,
148,,"Derfor fastholder jeg forslaget om at bevare det mundtlige spørgsmål til Kommissionen og Rådet , således at vi én gang for alle får opklaret , hvilken holdning de to institutioner har til dette ret beskedne forslag , som dog sender et vigtigt signal til befolkningen , navnlig efter fiaskoen i Seattle .",,,,,
149,,"Vi skal stemme om PPE-DE-gruppens anmodning om , at de mundtlige forespørgsler om kapitalskat tages af dagsordenen .",,,,,
150,,( Forslaget forkastedes .,,,,,
151,,"164 stemte for , 166 stemte imod , og 7 undlod at stemme ) Fru formand , jeg vil gerne takke hr .",,,,,
152,,"Poettering for den reklame , han netop har gjort for denne debat .",,,,,
153,2,Tak .,,,,,
154,0,"Fru formand , er min stemme , som jeg ikke kunne afgive elektronisk , fordi jeg ikke har kortet , blevet talt med ?",,,,,
155,0,Jeg stemte for .,,,,,
156,1,Det er rigtigt .,,,,,
157,0,"Hvis vi tilføjer de to kolleger , der har givet sig til kende , bliver resultatet ...",,,,,
158,0,"Fru formand , formandskabet har bekendtgjort afstemningens udfald .",,,,,
159,,Det kan der ikke laves om på .,,,,,
160,,"Kære kolleger , jeg minder endnu en gang om , at det er vigtigt , at alle har deres kort om mandagen .",,,,,
161,-1,"Det er tydeligt , at vi har et problem , og jeg må derfor træffe en beslutning .",,,,,
162,,"Jeg har også glemt mit kort , og jeg ville have stemt imod .",,,,,
163,,"Derfor mener jeg , at det mundtlige spørgsmål fortsat skal medtages på dagsordenen .",,,,,
164,,"Det er sidste gang , vi vil tage hensyn til glemte kort .",,,,,
165,,"Lad dette være helt klart , og husk det .",,,,,
166,,"( Bifald ) Ja , det mundtlige spørgsmål er fortsat opført på dagsordenen , og ja , formanden har ret til at stemme , ligesom hun har ret til at glemme sit kort .",,,,,
167,,Vi fortsætter nu med de øvrige ændringer af dagsordenen .,,,,,
168,,"Fru formand , i den tidligere afstemning - og jeg vil rette mig efter Deres afgørelse om dette emne - om spørgsmålet om Kommissionens redegørelse om dens strategiske mål gav jeg udtryk for , at jeg gerne ville tale på vegne af min gruppe før afstemningen .",,,,,
169,,Det blev ikke til noget .,,,,,
170,,Jeg vil sætte pris på at få lejlighed til at afgive stemmeforklaring på vegne af min gruppe i forbindelse med afslutningen af dette spørgsmål .,,,,,
171,,"Det er et vigtigt spørgsmål , og det vil være nyttigt for Parlamentet , hvis det er angivet , hvordan de forskellige personer opfatter vores handlinger i lyset af deres egne politiske analyser .",,,,,
172,,"Fru formand , jeg vil ikke genoptage debatten , men jeg havde også meldt mig for at tage stilling til hr .",,,,,
173,,Barón Crespos ændringsforslag .,,,,,
174,,De råbte mig heller ikke op .,,,,,
175,,"Det beklager jeg , men afstemningen er gennemført , afgørelsen er truffet , vi lader det altså ligge .",,,,,
176,,"Jeg beklager , hr .",,,,,
177,,Hänsch og hr .,,,,,
178,,"Cox , jeg så ikke , at De anmodede om ordet .",,,,,
179,,"Men i øvrigt mener jeg , at holdningerne er meget klare , og de vil blive indført i protokollen .",,,,,
180,,"Når vi i morgen skal vedtage protokollen for i dag , kan de kolleger , der ikke synes , at holdningerne er blevet tilstrækkeligt forklaret , anmode om ændringer .",,,,,
181,,"Det , mener jeg , er en god løsning .",,,,,
182,,Selvfølgelig vil protokollen for mødet i morgen tage hensyn til alle de supplerende forklaringer .,,,,,
183,,"Jeg mener , at det er en bedre løsning end at gå over til stemmeforklaringer på nuværende tidspunkt , som ville være et stort sidespring .",,,,,
184,,Hr. Cox og hr .,,,,,
185,,"Hänsch , passer denne løsning Dem ?",,,,,
186,,"Fru formand , hvis protokollen giver korrekt udtryk for min gruppes holdning i forbindelse med afstemningen , vil og kan jeg ikke gøre indsigelser .",,,,,
187,,"Hvis De afgør , at der ikke er grund til at afgive stemmeforklaring , vil jeg acceptere det , men med forbehold .",,,,,
188,,Vi vil derfor være meget opmærksomme på udarbejdelsen af protokollen .,,,,,
189,,Det er vi i øvrigt altid .,,,,,
190,,"Hvis holdningerne ikke klart fremgår , kan vi eventuelt ændre den .",,,,,
191,,( Den således ændrede dagsorden godkendtes ),,,,,
192,,"Sikkerhedsrådgivere for transport af farligt gods Næste punkt på dagsordenen er betænkning ( A5-0105 / 1999 ) af Koch for Udvalget om Regionalpolitik , Transport og Turisme om Rådets fælles holdning med henblik på vedtagelse af Europa-Parlamentets og Rådets direktiv om minimumseksamenskravene for sikkerhedsrådgivere i forbindelse med transport af farligt gods med jernbane eller ad vej eller indre vandveje ( C5-0208 / 1999 - 1998 / 0106 ( COD ) ) .",,,,,
193,,"Ærede fru kommissær , ærede formand , kære kolleger , jeg bifalder Rådets fælles holdning om harmonisering af uddannelsen af sikkerhedsrådgivere i forbindelse med transport af farligt gods med jernbane eller ad vej eller indre vandveje uforbeholdent .",,,,,
194,,"For det første skulle vi formelt være aktive for at opfylde kravene i direktiv 96 / 35 / EF , som forpligter medlemsstaterne til at anvende sikkerhedsansvarlige eller sikkerhedsrådgivere og til at organisere uddannelse , kurser og eksaminer for netop disse personer uden at udføre dette eksplicit .",,,,,
195,,"For det andet opnår vi følgende med dette direktiv : a ) øget sikkerhed både ved transport og ved omladning af farligt gods , b ) afskaffelse af konkurrenceforvridning som følge af de mest forskelligartede nationale uddannelsesstrukturer og uddannelsesomkostninger og c ) etablering af lige muligheder for sikkerhedsrådgivere på det europæiske arbejdsmarked .",,,,,
196,,"For det tredje garanterer vi med direktivet , sådan som det foreligger nu som fælles holdning , især da det udelukkende er begrænset til minimumsstandarder , en høj grad af fleksibilitet og begrænset regulering fra Den Europæiske Unions side , og vi bidrager til et stort egetansvar i medlemsstaterne .",,,,,
197,,Alt dette skal hilses særdeles velkomment i overensstemmelse med nærhedsprincippet .,,,,,
198,,Vores ændringsforslag fra førstebehandlingen anser jeg for at være tilgodeset på en meget tilfredsstillende måde .,,,,,
199,,"De blev overtaget , gennemført efter hensigten eller bortfaldt , fordi de tilsvarende europæiske bestemmelser ikke blev optaget , f.eks. et sanktionssystem ved krænkelser eller en kompliceret blokdannelse af spørgsmål .",,,,,
200,,"Hvad angår det ene ændringsforslag , der blev vedtaget enstemmigt , fra Udvalget om Regionalpolitik , Transport og Turisme , og som vedrører den tidsmæssige gennemførelse af direktivet , beder jeg om godkendelse .",,,,,
201,,"Idet vi ikke fastsætter en specifik dato for medlemsstaterne med henblik på gennemførelse af direktivet , men derimod indrømmer dem en periode på tre måneder efter direktivets ikrafttræden , indfører vi en fleksibilitetsklausul , som garanterer omgående gennemførelse .",,,,,
202,,Jeg beder om Deres godkendelse .,,,,,
203,,"Fru formand , vi kan og må ikke affinde os med , at vi oftere og oftere hører om ulykker , hvor der opstår store skader i forbindelse med transport ad vej , men også med jernbane eller ad indre vandveje , ikke kun , men også fordi de berørte ikke tager transport af farligt gods alvorligt nok , eller fordi der på grund af uvidenhed eller på grund af manglende uddannelse af chauffører eller øvrige ansvarlige for diverse transportmidler alt for ofte udvikler sig en stor katastrofe af et lille uheld .",,,,,
204,,"Som østriger , men det gælder vist for os alle har jeg stadigvæk den katastrofe i frisk erindring , som kostede talrige mennesker livet sidste år i Tauern-tunnellen , og hvor der i mange måneder efter med gigantiske økonomiske omkostninger måtte genopbygges det , der blev ødelagt i tunnellen ved denne brand .",,,,,
205,,Den månedlange renovering har afskåret denne vigtige transportvej mellem Nord- og Sydeuropa .,,,,,
206,-3,"Den omkørselstrafik , der er blevet en følge heraf , har belastet mange tusinde EU-borgere til grænsen af det udholdelige .",,,,,
207,-3,Helvede var virkelig løs i enkelte af kommunerne i mit land .,,,,,
208,,"Forebyggelse må være vores svar på sådanne katastrofer , og med det foreliggende direktivforslag skaber vi et vigtigt grundlag for , at veluddannede sikkerhedsrådgivere står til rådighed , således at der bliver gjort det rigtige i rette tid .",,,,,
209,,Vi må imidlertid ikke nøjes med at skabe europæisk ret til fordel for større sikkerhed .,,,,,
210,,"Vi skal også konsekvent sørge for , at vores mål gennemføres af medlemsstaterne i rette tid , og hvad der er endnu vigtigere , vi skal sørge for , at de også anvendes .",,,,,
211,,"Ikke endnu et område , hvor vi efterfølgende må beklage mangelen på gennemførelse , tak .",,,,,
212,,"Jeg vil gerne komme ind på et sidste punkt : Vi må ikke nøjes med at lukke endnu et hul i sikkerhedsnettet og lukke øjnene for , at der stadig er meget mere at gøre i forbindelse med temaet trafiksikkerhed i Europa .",,,,,
213,,"Jeg forlanger også i denne forbindelse og beder den tilstedeværende ansvarlige kommissær om så snart som muligt at fremlægge en relevant tekst for også fremover at sørge for større sikkerhed i tunneltrafikken , således at vi ikke mere skal opleve katastrofer af et sådant omfang i Europa !",,,,,
214,,"Fru formand , jeg vil først og fremmest gerne takke hr .",,,,,
215,,"Koch for hans betænkning , som omhandler spørgsmålet om transportsikkerhed .",,,,,
216,,"Betænkningen ser på spørgsmålet om harmonisering af eksamenskravene for sikkerhedsrådgivere inden for transport af farlige stoffer ad landevej , med jernbane og ad vandveje .",,,,,
217,3,Jeg vil gerne takke ham for hans fremragende betænkning .,,,,,
